,l2,r2,order,index,weighting_scheme,game_title
1,0.231887618203601,-9.521060095853398,1,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
2,0.4517387841699566,-8.245639092308306,2,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
3,0.5812963219840106,-2.3655499267478906,3,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
4,1.0758919914184633,-3.380591580721333,4,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
5,1.1418386525042092,-2.5680154230085943,5,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
6,0.7123287589229774,-1.4726122404670852,6,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
7,0.5374425501106963,-4.0325973242530475,7,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
8,0.05545156928352421,-0.35237083089049714,8,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
9,0.01498909750433546,-5.101360541306038,9,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
10,1.922204930000162e-24,1.0,10,k-SII,uniform,Bike Sharing Random Forest Ensemble Selection
1,0.231887618203601,-9.521060095853398,1,STII,uniform,Bike Sharing Random Forest Ensemble Selection
2,2.36305858371818,-20.924972684148177,2,STII,uniform,Bike Sharing Random Forest Ensemble Selection
3,6.485145543003148,-4.033406420023921,3,STII,uniform,Bike Sharing Random Forest Ensemble Selection
4,7.194576815378504,-1.2908263448073272,4,STII,uniform,Bike Sharing Random Forest Ensemble Selection
5,3.69731270287979,-0.5466292940144928,5,STII,uniform,Bike Sharing Random Forest Ensemble Selection
6,0.9089066812013477,-0.22241231013916196,6,STII,uniform,Bike Sharing Random Forest Ensemble Selection
7,0.10258657964429173,-0.10385318112996922,7,STII,uniform,Bike Sharing Random Forest Ensemble Selection
8,0.004631215855069822,0.17029485944537848,8,STII,uniform,Bike Sharing Random Forest Ensemble Selection
9,5.5290891902063456e-05,0.9414810906084525,9,STII,uniform,Bike Sharing Random Forest Ensemble Selection
10,6.8821474337050005e-28,1.0,10,STII,uniform,Bike Sharing Random Forest Ensemble Selection
1,0.23188762195464357,-9.521060468142577,1,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
2,0.03541258935346735,-0.2219592860872288,2,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
3,0.02029775288132215,-0.7340925732573522,3,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
4,0.006234157061296064,0.03177634472137647,4,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
5,0.0018778050851833237,0.26563509527774487,5,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
6,0.00044425427317120684,0.6801690056451538,6,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
7,8.024367533378932e-05,0.9188621119373176,7,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
8,9.923713185353249e-06,0.9891203517513383,8,FSII,uniform,Bike Sharing Random Forest Ensemble Selection
