,l2,r2,order,index,weighting_scheme,game_title
1,0.13622621895410603,-6.207641069691676,1,k-SII,uniform,California Housing Cluster Explanation
2,0.18079881754792457,-3.0456266676477055,2,k-SII,uniform,California Housing Cluster Explanation
3,0.20474777353497817,-1.2749508785247765,3,k-SII,uniform,California Housing Cluster Explanation
4,0.1871851749644322,-0.8300618529708617,4,k-SII,uniform,California Housing Cluster Explanation
5,0.15111475872008326,-1.7791751652765853,5,k-SII,uniform,California Housing Cluster Explanation
6,0.013206312236928353,0.5421823059146911,6,k-SII,uniform,California Housing Cluster Explanation
7,0.004277314096523773,0.8241475096201399,7,k-SII,uniform,California Housing Cluster Explanation
8,2.096388208401006e-25,1.0,8,k-SII,uniform,California Housing Cluster Explanation
1,0.13622621895410603,-6.207641069691676,1,STII,uniform,California Housing Cluster Explanation
2,0.9762240227211515,-9.895782527806753,2,STII,uniform,California Housing Cluster Explanation
3,1.5570039012428487,-2.2515976228469103,3,STII,uniform,California Housing Cluster Explanation
4,0.951117858466198,-0.8975549577108883,4,STII,uniform,California Housing Cluster Explanation
5,0.2047585631984213,-0.0633556481773776,5,STII,uniform,California Housing Cluster Explanation
6,0.014026917896761516,0.5725766735772603,6,STII,uniform,California Housing Cluster Explanation
7,0.0003705593895475351,0.9843992337106536,7,STII,uniform,California Housing Cluster Explanation
8,4.40167677671057e-30,1.0,8,STII,uniform,California Housing Cluster Explanation
1,0.13622622073808616,-6.207641257226209,1,FSII,uniform,California Housing Cluster Explanation
2,0.031117272027592707,0.05199468634648363,2,FSII,uniform,California Housing Cluster Explanation
3,0.013660031891301919,0.5359653057016307,3,FSII,uniform,California Housing Cluster Explanation
4,0.004826201868334117,0.8256069036332885,4,FSII,uniform,California Housing Cluster Explanation
5,0.0013702881334782266,0.9428231602671382,5,FSII,uniform,California Housing Cluster Explanation
6,0.00015120479884062272,0.9934932386702225,6,FSII,uniform,California Housing Cluster Explanation
7,1.3900935249393186e-05,0.9994011198329013,7,FSII,uniform,California Housing Cluster Explanation
8,1.996872064005504e-19,1.0,8,FSII,uniform,California Housing Cluster Explanation
1,0.015707130513086344,-1.0997187762606568,1,FBII,uniform,California Housing Cluster Explanation
2,0.006148234115585656,0.6391772151220918,2,FBII,uniform,California Housing Cluster Explanation
3,0.0030189695395863407,0.8503144848476418,3,FBII,uniform,California Housing Cluster Explanation
4,0.0017071188200729927,0.9205274123642854,4,FBII,uniform,California Housing Cluster Explanation
5,0.0006307152149768031,0.972039050834681,5,FBII,uniform,California Housing Cluster Explanation
6,0.00010411563435554908,0.9954896280219949,6,FBII,uniform,California Housing Cluster Explanation
7,1.1579980923359882e-05,0.9995003489885751,7,FBII,uniform,California Housing Cluster Explanation
