,l2,r2,order,index,weighting_scheme,game_title
1,0.16852298053103834,-7.047171853980121,1,k-SII,uniform,California Housing Ensemble Selection
2,0.25611250199409297,-5.250140315279912,2,k-SII,uniform,California Housing Ensemble Selection
3,0.31875716048788283,-2.4771899510403546,3,k-SII,uniform,California Housing Ensemble Selection
4,0.4971872797057623,-3.2755984911958373,4,k-SII,uniform,California Housing Ensemble Selection
5,0.5099132641677822,-2.5551197510487067,5,k-SII,uniform,California Housing Ensemble Selection
6,0.2801194412132143,-1.1994769153035887,6,k-SII,uniform,California Housing Ensemble Selection
7,0.2040769653079001,-3.875137506473349,7,k-SII,uniform,California Housing Ensemble Selection
8,0.01905082389007689,-0.3285088075085201,8,k-SII,uniform,California Housing Ensemble Selection
9,0.0048073795226169485,-0.845615560591636,9,k-SII,uniform,California Housing Ensemble Selection
10,8.940688515450889e-25,1.0,10,k-SII,uniform,California Housing Ensemble Selection
1,0.16852298053103834,-7.047171853980121,1,STII,uniform,California Housing Ensemble Selection
2,1.3670999053289137,-15.621791600247782,2,STII,uniform,California Housing Ensemble Selection
3,3.2803521033896095,-3.936547454560669,3,STII,uniform,California Housing Ensemble Selection
4,3.2843063222598965,-1.2137727764358672,4,STII,uniform,California Housing Ensemble Selection
5,1.548424367419772,-0.5541395083633351,5,STII,uniform,California Housing Ensemble Selection
6,0.3528539229704698,-0.18890836640214625,6,STII,uniform,California Housing Ensemble Selection
7,0.03718886113210914,-0.0787541053288261,7,STII,uniform,California Housing Ensemble Selection
8,0.001575975980367876,0.6184159382592322,8,STII,uniform,California Housing Ensemble Selection
9,1.7733175826058927e-05,0.9925108318735468,9,STII,uniform,California Housing Ensemble Selection
10,7.647829290562826e-29,1.0,10,STII,uniform,California Housing Ensemble Selection
1,0.16852298304152163,-7.047172085237678,1,FSII,uniform,California Housing Ensemble Selection
2,0.02469581075704979,0.09632109324992977,2,FSII,uniform,California Housing Ensemble Selection
3,0.012544852259374975,-0.27327787579967366,3,FSII,uniform,California Housing Ensemble Selection
4,0.0035540316871229697,0.25796214850811405,4,FSII,uniform,California Housing Ensemble Selection
5,0.0009653097853308432,0.6888910493925335,5,FSII,uniform,California Housing Ensemble Selection
