,l2,r2,order,index,weighting_scheme,game_title
1,0.2796007377170382,0.4366193292738084,1,k-SII,uniform,California Housing Unsupervised Data
2,0.0326898619691484,0.9401031031391993,2,k-SII,uniform,California Housing Unsupervised Data
3,0.041068368048509274,0.9468742377238987,3,k-SII,uniform,California Housing Unsupervised Data
4,0.11910346895092355,0.8415387596024625,4,k-SII,uniform,California Housing Unsupervised Data
5,0.1271717790906173,0.7316668954255527,5,k-SII,uniform,California Housing Unsupervised Data
6,0.054658116219366074,0.8899623232762318,6,k-SII,uniform,California Housing Unsupervised Data
7,0.024901101584642614,0.959248339641236,7,k-SII,uniform,California Housing Unsupervised Data
8,1.980372531956207e-25,1.0,8,k-SII,uniform,California Housing Unsupervised Data
1,0.2796007377170382,0.4366193292738084,1,STII,uniform,California Housing Unsupervised Data
2,0.07705667982043163,0.866526344188276,2,STII,uniform,California Housing Unsupervised Data
3,0.46503300972098927,0.5872225970332714,3,STII,uniform,California Housing Unsupervised Data
4,0.7626338505215526,-1.154148660950733,4,STII,uniform,California Housing Unsupervised Data
5,0.38311439426802224,0.7196550980661998,5,STII,uniform,California Housing Unsupervised Data
6,0.05992932378515098,0.8763762464261992,6,STII,uniform,California Housing Unsupervised Data
7,0.0021572736521226245,0.9965029091895501,7,STII,uniform,California Housing Unsupervised Data
8,1.5625972418475076e-30,1.0,8,STII,uniform,California Housing Unsupervised Data
1,0.27960073804818536,0.43661932873982423,1,FSII,uniform,California Housing Unsupervised Data
2,0.018522855850231702,0.9653542201177002,2,FSII,uniform,California Housing Unsupervised Data
3,0.008507033530185592,0.9862497851640084,3,FSII,uniform,California Housing Unsupervised Data
4,0.004871317994426074,0.9920371498264934,4,FSII,uniform,California Housing Unsupervised Data
5,0.0020840014878777163,0.9964656145305875,5,FSII,uniform,California Housing Unsupervised Data
6,0.0005879862099488241,0.9990070704356493,6,FSII,uniform,California Housing Unsupervised Data
7,8.092662669707121e-05,0.9998637934355682,7,FSII,uniform,California Housing Unsupervised Data
8,1.8139459095874074e-18,1.0,8,FSII,uniform,California Housing Unsupervised Data
